"","Counts","Word","cDis"
"222",8,"#73",8
"223",6,"#75",6
"224",8,"#76",8
"225",29,"#76er",29
"226",9,"#77",9
"227",9,"#78",9
"228",10,"#79",10
"229",8,"#7day",8
"230",5,"#7daysofsex",4.26751071846172
"231",8,"#7new",8
"232",155,"#8",155
"233",21,"#80",21
"234",30,"#808pride",30
"235",5,"#80plate",4.26751071846172
"236",5,"#80s",4.26751071846172
"237",5,"#81",4.26751071846172
"238",6,"#83",6
"239",12,"#84",12
"240",11,"#85",11
"241",10,"#86",10
"242",7,"#87",7
"243",9,"#88",9
"244",5,"#8hour",4.26751071846172
"245",134,"#9",134
"246",13,"#90",13
"247",7,"#90210",7
"248",5,"#90sproblem",4.26751071846172
"249",14,"#96",14
"250",8,"#97",8
"251",9,"#98",9
"252",15,"#99",15
"253",8,"#99conf",8
"254",10,"#9new",10
"255",17,"#9roundminut",17
"256",46,"#a",46
"257",11,"#a11i",11
"258",7,"#a4achalleng",7
"259",6,"#aa",6
"260",11,"#aaa2010",11
"261",5,"#aaasci",4.26751071846172
"262",9,"#aaasmtg",9
"263",6,"#aaja",6
"264",27,"#aam2011",27
"265",110,"#aam2012",110
"266",5,"#aamkt",4.26751071846172
"267",17,"#aas3rdcenturi",17
"268",13,"#aasl11",13
"269",5,"#aatc",4.26751071846172
"270",11,"#aba",11
"271",28,"#abc",28
"272",15,"#abdc",15
"273",7,"#abdc7",7
"274",6,"#abestfriend",6
"275",5,"#abirdoftheair",4.26751071846172
"276",11,"#abort",11
"277",7,"#aboutm",7
"278",27,"#aboyfriendshouldalway",27
"279",152,"#abq",152
"280",9,"#abripperx",9
"281",7,"#abus",7
"282",10,"#ac",10
"283",22,"#aca",22
"284",6,"#academyaward",6
"285",6,"#academysummit",6
"286",6,"#acappella",6
"287",8,"#acbw",8
"288",10,"#acc",10
"289",14,"#access",14
"290",5,"#accessori",4.26751071846172
"291",5,"#accessusummit",4.26751071846172
"292",13,"#accomplish",13
"293",17,"#account",17
"294",5,"#acfamilymeet",4.26751071846172
"295",10,"#acl",10
"296",5,"#acls2012",4.26751071846172
"297",23,"#acm",23
"298",6,"#aco",6
"299",7,"#acon",7
"300",13,"#acrl2011",13
"301",6,"#acsskin",6
"302",42,"#act",42
"303",9,"#action",9
"304",7,"#actiononfilm",7
"305",11,"#activ",11
"306",7,"#activatenyc12",7
"307",5,"#actofvalor",4.26751071846172
"308",95,"#actor",95
"309",6,"#actorsloungel",6
"310",13,"#actress",13
"311",13,"#acupunctur",13
"312",8,"#ad",8
"313",7,"#ad4mh",7
"314",5,"#adamyauch",4.26751071846172
"315",9,"#aday",9
"316",11,"#add",11
"317",11,"#addi",11
"318",30,"#addict",30
"319",41,"#adel",41
"320",7,"#adhd",7
"321",6,"#adida",6
"322",5,"#adjust",4.26751071846172
"323",5,"#admerica",4.26751071846172
"324",5,"#adminprofweek",4.26751071846172
"325",5,"#admiss",4.26751071846172
"326",18,"#adob",18
"327",12,"#adopt",12
"328",14,"#ador",14
"329",5,"#adponcampus",4.26751071846172
"330",9,"#adtech",9
"331",10,"#adventur",10
"332",6,"#adventuretim",6
"333",31,"#advertis",31
"334",5,"#advic",4.26751071846172
"335",5,"#advocaci",4.26751071846172
"336",6,"#advocar",6
"337",6,"#aea",6
"338",6,"#aecsm",6
"339",11,"#aera2012",11
"340",7,"#af",7
"341",5,"#afc",4.26751071846172
"342",7,"#affili",7
"343",8,"#affirm",8
"344",5,"#afford",4.26751071846172
"345",12,"#afghanistan",12
"346",7,"#afpmeet",7
"347",21,"#africa",21
"348",19,"#afs11",19
"349",18,"#aft",18
"350",5,"#afta11",4.26751071846172
"351",16,"#afterschool",16
"352",6,"#aftra",6
"353",10,"#ag",10
"354",7,"#again",7
"355",7,"#agbt",7
"356",7,"#age",7
"357",10,"#agent",10
"358",22,"#agil",22
"359",28,"#agirldeserv",28
"360",12,"#agirljustw",12
"361",7,"#agirlthat",7
"362",20,"#agre",20
"363",6,"#agricultur",6
"364",40,"#agt",40
"365",6,"#aguyshould",6
"366",12,"#ah",12
"367",6,"#aha",6
"368",18,"#aha2012",18
"369",5,"#ahaa2012",4.26751071846172
"370",5,"#ahcj12",4.26751071846172
"371",10,"#ahi",10
"372",8,"#ai",8
"373",5,"#aia2012",4.26751071846172
"374",10,"#aid",10
"375",9,"#aidswalk12",9
"376",7,"#aiip12",7
"377",7,"#aimstech12",7
"378",5,"#aintnothinglik",4.26751071846172
"379",6,"#airport",6
"380",5,"#ajstream",4.26751071846172
"381",5,"#aka",4.26751071846172
"382",14,"#akron",14
"383",7,"#al",7
"384",9,"#ala",9
"385",18,"#ala10",18
"386",79,"#ala11",79
"387",27,"#ala12",27
"388",6,"#ala2009",6
"389",20,"#alabama",20
"390",7,"#alaconf",7
"391",8,"#alamw11",8
"392",73,"#alamw12",73
"393",12,"#alaska",12
"394",47,"#albuquerqu",47
"395",16,"#alcatraz",16
"396",5,"#alcohol",4.26751071846172
"397",19,"#alec",19
"398",9,"#alexanderint",9
"399",6,"#alexandriava",6
"400",5,"#alexandroberthavethebestswag",4.26751071846172
"401",23,"#alexandroberttweettweet",23
"402",5,"#alexfollowm",4.26751071846172
"403",6,"#alfresco",6
"404",5,"#ali",4.26751071846172
"405",15,"#all",15
"406",8,"#allday",8
"407",15,"#allergi",15
"408",5,"#allhailal",4.26751071846172
"409",11,"#alliclass",11
"410",17,"#allin",17
"411",6,"#alliw",6
"412",7,"#allnight",7
"413",7,"#allrelationshipsne",7
"414",11,"#allstar",11
"415",6,"#allstargam",6
"416",6,"#allstarweekend",6
"417",5,"#alltheway",4.26751071846172
"418",8,"#alltim",8
"419",6,"#aln2011",6
"420",6,"#aloa",6
"421",5,"#aloha",4.26751071846172
"422",5,"#alon",4.26751071846172
"423",6,"#alphaact",6
"424",12,"#alt",12
"425",19,"#altac",19
"426",5,"#altmetr",4.26751071846172
"427",7,"#altsummit",7
"428",7,"#alvinailey",7
"429",12,"#alway",12
"430",9,"#alzheim",9
"431",7,"#am",7
"432",14,"#ama",14
"433",13,"#amasummit",13
"434",79,"#amaz",79
"435",6,"#amazingmilwaukeerac",6
"436",12,"#amazingrac",12
"437",21,"#amazon",21
"438",10,"#ambit",10
"439",13,"#amc",13
"440",6,"#amedit",6
"441",30,"#amen",30
"442",18,"#amendment1",18
"443",29,"#america",29
"444",35,"#american",35
"445",6,"#americanairlin",6
"446",16,"#americanhorrorstori",16
"447",92,"#americanidol",92
"448",8,"#americanreunion",8
"449",33,"#americanu",33
"450",13,"#americasgottal",13
"451",5,"#americasnexttopmodel",4.26751071846172
"452",11,"#amerk",11
"453",7,"#ami",7
"454",5,"#amia11",4.26751071846172
"455",7,"#amiright",7
"456",11,"#amitheonlyonethat",11
"457",7,"#amovietodescribemyex",7
"458",5,"#amp",4.26751071846172
"459",15,"#amread",15
"460",12,"#amtrak",12
"461",66,"#amwrit",66
"462",10,"#amywinehous",10
"463",7,"#anacostiadc",7
"464",15,"#analyt",15
"465",13,"#anc",13
"466",8,"#anchorman",8
"467",7,"#andrewluck",7
"468",97,"#android",97
"469",10,"#andypol",10
"470",65,"#angel",65
"471",5,"#angelacorey",4.26751071846172
"472",5,"#angelinajoli",4.26751071846172
"473",16,"#angelsandgentlemen",16
"474",10,"#angrybird",10
"475",13,"#anhkc",13
"476",20,"#anim",20
"477",7,"#annapoli",7
"478",5,"#anniversari",4.26751071846172
"479",30,"#annoy",30
